Iteration,ReplicaIndex,Temperature,Energy,SAP
0,0,0.1,94622,NA
0,1,0.26827,102278,NA
0,2,0.719686,112226,NA
0,3,1.9307,112978,NA
0,4,5.17947,96862.5,NA
0,5,13.895,113659,NA
0,6,37.2759,105122,NA
0,7,100,123429,NA
1,0,0.1,75163.8,NA
1,1,0.26827,80018.6,NA
1,2,0.719686,83210.9,NA
1,3,1.9307,74214.4,NA
1,4,5.17947,79523.2,NA
1,5,13.895,82277,NA
1,6,37.2759,96317.9,NA
1,7,100,102534,NA
2,0,0.1,65195.9,NA
2,1,0.26827,68163.6,NA
2,2,0.719686,65534.6,NA
2,3,1.9307,71101.6,NA
2,4,5.17947,72344.7,NA
2,5,13.895,77016.2,NA
2,6,37.2759,77892.4,NA
2,7,100,80076.3,NA
3,0,0.1,63202.8,NA
3,1,0.26827,57585.5,NA
3,2,0.719686,64869.2,NA
3,3,1.9307,65824.5,NA
3,4,5.17947,64823.9,NA
3,5,13.895,66738.6,NA
3,6,37.2759,71894,NA
3,7,100,75244.5,NA
4,0,0.1,55555.6,NA
4,1,0.26827,59166.2,NA
4,2,0.719686,59675.4,NA
4,3,1.9307,57834.4,NA
4,4,5.17947,60790,NA
4,5,13.895,63411.8,NA
4,6,37.2759,63283.8,NA
4,7,100,67841,NA
5,0,0.1,54448.9,NA
5,1,0.26827,56724.7,NA
5,2,0.719686,56968.9,NA
5,3,1.9307,56996.3,NA
5,4,5.17947,57054.3,NA
5,5,13.895,60906.9,NA
5,6,37.2759,60703.7,NA
5,7,100,61158.8,NA
6,0,0.1,53945.4,NA
6,1,0.26827,54333.5,NA
6,2,0.719686,53410.5,NA
6,3,1.9307,54228.8,NA
6,4,5.17947,56599,NA
6,5,13.895,57294.6,NA
6,6,37.2759,57567.2,NA
6,7,100,58310.4,NA
7,0,0.1,52827.5,NA
7,1,0.26827,48445.2,NA
7,2,0.719686,52182,NA
7,3,1.9307,53350.2,NA
7,4,5.17947,54995,NA
7,5,13.895,55424,NA
7,6,37.2759,50270.1,NA
7,7,100,56468.8,NA
8,0,0.1,44575.8,NA
8,1,0.26827,50384.7,NA
8,2,0.719686,51304.9,NA
8,3,1.9307,52598.8,NA
8,4,5.17947,51343.1,NA
8,5,13.895,47900.9,NA
8,6,37.2759,52210.9,NA
8,7,100,52618.4,NA
9,0,0.1,43427.7,NA
9,1,0.26827,48291.5,NA
9,2,0.719686,49665.9,NA
9,3,1.9307,50466.7,NA
9,4,5.17947,45436.4,NA
9,5,13.895,50267.9,NA
9,6,37.2759,51469.5,NA
9,7,100,51343.1,NA
10,0,0.1,40472.4,NA
10,1,0.26827,47483,NA
10,2,0.719686,47921.4,NA
10,3,1.9307,44870.3,NA
10,4,5.17947,48355.8,NA
10,5,13.895,49480,NA
10,6,37.2759,50643.4,NA
10,7,100,51307.9,NA
11,0,0.1,40472.4,NA
11,1,0.26827,46664.9,NA
11,2,0.719686,42887.6,NA
11,3,1.9307,47017,NA
11,4,5.17947,46717.5,NA
11,5,13.895,47835.2,NA
11,6,37.2759,48121.2,NA
11,7,100,49987.2,NA
12,0,0.1,40341.4,NA
12,1,0.26827,42887.6,NA
12,2,0.719686,45263.3,NA
12,3,1.9307,45315.6,NA
12,4,5.17947,46430.1,NA
12,5,13.895,47125.5,NA
12,6,37.2759,47302.6,NA
12,7,100,48589.6,NA
13,0,0.1,40341.4,NA
13,1,0.26827,42887.6,NA
13,2,0.719686,44530.2,NA
13,3,1.9307,44918.6,NA
13,4,5.17947,45332.1,NA
13,5,13.895,45866.4,NA
13,6,37.2759,46637.7,NA
13,7,100,48902.9,NA
14,0,0.1,39999.3,NA
14,1,0.26827,41604.5,NA
14,2,0.719686,43548.9,NA
14,3,1.9307,44309.1,NA
14,4,5.17947,45010.9,NA
14,5,13.895,45296.5,NA
14,6,37.2759,46637.7,NA
14,7,100,47415.5,NA
15,0,0.1,39999.3,NA
15,1,0.26827,41561.3,NA
15,2,0.719686,43003.9,NA
15,3,1.9307,43780.3,NA
15,4,5.17947,44701.9,NA
15,5,13.895,43070.5,NA
15,6,37.2759,45010.9,NA
15,7,100,46933,NA
16,0,0.1,39999.3,NA
16,1,0.26827,41381.9,NA
16,2,0.719686,41483.9,NA
16,3,1.9307,43197,NA
16,4,5.17947,41932.6,NA
16,5,13.895,43647.7,NA
16,6,37.2759,44351.6,NA
16,7,100,46624.4,NA
17,0,0.1,39999.3,NA
17,1,0.26827,41332.9,NA
17,2,0.719686,41296,NA
17,3,1.9307,41381.9,NA
17,4,5.17947,41674.2,NA
17,5,13.895,43112,NA
17,6,37.2759,44096.1,NA
17,7,100,46869.8,NA
18,0,0.1,39809.2,NA
18,1,0.26827,39423.2,NA
18,2,0.719686,39768.3,NA
18,3,1.9307,40811.4,NA
18,4,5.17947,41674.2,NA
18,5,13.895,42609.9,NA
18,6,37.2759,42790.9,NA
18,7,100,45396.1,NA
19,0,0.1,39205.3,NA
19,1,0.26827,39236.2,NA
19,2,0.719686,39809.2,NA
19,3,1.9307,40566.9,NA
19,4,5.17947,41647,NA
19,5,13.895,39344.4,NA
19,6,37.2759,42609.9,NA
19,7,100,45125,NA
20,0,0.1,38154.3,NA
20,1,0.26827,38177.4,NA
20,2,0.719686,39555.7,NA
20,3,1.9307,39668.1,NA
20,4,5.17947,38718.6,NA
20,5,13.895,41647,NA
20,6,37.2759,42609.9,NA
20,7,100,44604.6,NA
21,0,0.1,37378.3,NA
21,1,0.26827,37948,NA
21,2,0.719686,39295.7,NA
21,3,1.9307,38640.3,NA
21,4,5.17947,38891.5,NA
21,5,13.895,39397.2,NA
21,6,37.2759,42275,NA
21,7,100,44604.6,NA
22,0,0.1,37378.3,NA
22,1,0.26827,37782.3,NA
22,2,0.719686,38096.6,NA
22,3,1.9307,38754,NA
22,4,5.17947,38891.5,NA
22,5,13.895,39397.2,NA
22,6,37.2759,42281.7,NA
22,7,100,43936.8,NA
23,0,0.1,37378.3,NA
23,1,0.26827,37737.8,NA
23,2,0.719686,38085.1,NA
23,3,1.9307,38096.6,NA
23,4,5.17947,38891.5,NA
23,5,13.895,39397.2,NA
23,6,37.2759,39937.5,NA
23,7,100,43199.9,NA
24,0,0.1,37378.3,NA
24,1,0.26827,37737.8,NA
24,2,0.719686,37944.6,NA
24,3,1.9307,38096.6,NA
24,4,5.17947,38866.9,NA
24,5,13.895,38891.5,NA
24,6,37.2759,39937.5,NA
24,7,100,43224.4,NA
25,0,0.1,37378.3,NA
25,1,0.26827,37737.8,NA
