Iteration,Replica0,Replica1,Replica2,Replica3,Replica4,Replica5,Replica6,Replica7
0,100,0.00211046,1.21069e-07,2.5551e-12,5.39243e-17,1.13805e-21,6.52854e-26,1.37782e-30
1,100,0.000981097,7.11189e-08,6.97746e-13,6.84556e-18,6.71615e-23,1.7911e-27,1.75724e-32
2,100,0.000456084,4.17767e-08,1.90537e-13,8.69008e-19,3.9634e-24,4.91364e-29,2.24103e-34
3,100,0.00021202,2.45403e-08,5.20303e-14,1.10314e-19,2.33888e-25,1.34796e-30,2.85794e-36
4,100,0.000267917,1.44166e-08,1.42092e-14,1.40048e-20,1.38033e-26,3.69814e-32,3.64494e-38
5,100,0.000338552,8.46896e-09,3.88032e-15,1.77789e-21,8.14597e-28,1.01455e-33,4.64849e-40
6,100,0.000427809,4.97497e-09,1.05964e-15,2.25699e-22,4.80727e-29,2.78331e-35,5.92829e-42
7,100,0.000540598,2.92246e-09,2.89366e-16,2.86517e-23,2.83693e-30,7.63557e-37,7.56032e-44
8,100,0.000683122,1.71674e-09,7.90193e-17,3.6372e-24,1.67416e-31,2.09469e-38,9.64159e-46
9,100,0.000863222,1.00846e-09,2.15784e-17,4.61725e-25,9.87968e-33,5.74641e-40,1.22958e-47
