Iteration,Replica0,Replica1,Replica2,Replica3,Replica4,Replica5,Replica6,Replica7
0,2.14748e+09,16,2.14748e+09,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09
1,2.14748e+09,16,2.14748e+09,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09
2,2.14748e+09,16,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09,2.14748e+09
3,2.14748e+09,16,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09,2.14748e+09
4,16,2.14748e+09,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09,2.14748e+09
5,16,2.14748e+09,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09,2.14748e+09
6,16,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09,2.14748e+09,2.14748e+09
7,16,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09,2.14748e+09,2.14748e+09
8,16,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09,2.14748e+09,2.14748e+09
9,16,2.14748e+09,2.14748e+09,21,2.14748e+09,2.14748e+09,2.14748e+09,2.14748e+09
